,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Portugal","2016","81.5","78.3","84.5","24.5","22.3","26.4","72.0","70.0","74.0","19.4","17.9","20.7"
"Qatar","2016","78.1","77.3","79.9","20.9","20.4","22.0","68.6","68.4","68.4","15.7","15.4","16.1"
"Republic of Korea","2016","82.7","79.5","85.6","25.3","22.7","27.4","73.0","70.7","75.1","19.7","17.6","21.4"
"Republic of Moldova","2016","71.5","67.6","75.3","17.6","15.3","19.4","63.6","60.7","66.4","13.7","12.0","15.1"
"Romania","2016","75.2","71.6","79.0","20.1","17.8","22.2","66.6","63.7","69.7","15.5","13.5","17.2"
"Russian Federation","2016","71.9","66.4","77.2","19.4","16.1","21.8","63.5","59.1","67.5","14.9","12.4","16.7"
"Rwanda","2016","68.0","66.1","69.9","18.5","17.7","19.2","59.9","58.8","61.0","14.2","13.8","14.5"
"Saint Lucia","2016","75.6","73.0","78.3","22.1","20.4","23.7","66.4","64.6","68.3","17.1","15.9","18.3"
"Saint Vincent and the Grenadines","2016","72.0","69.4","74.9","19.1","17.6","20.7","63.4","61.5","65.6","14.7","13.6","15.9"
"Samoa","2016","75.1","72.0","78.4","20.1","17.6","22.6","66.0","64.1","68.0","15.3","13.6","17.0"
"Sao Tome and Principe","2016","68.7","66.7","70.7","18.3","17.5","18.9","60.7","59.0","62.3","14.1","13.4","14.7"
"Saudi Arabia","2016","74.8","73.5","76.5","18.7","17.7","20.1","65.7","65.5","65.8","14.3","14.1","14.7"
